SK_ID_CURR	TARGET	NAME_CONTRACT_TYPE	CODE_GENDER	FLAG_OWN_CAR	FLAG_OWN_REALTY	CNT_CHILDREN	AMT_INCOME_TOTAL	AMT_CREDIT	AMT_ANNUITY	AMT_GOODS_PRICE	NAME_TYPE_SUITE	NAME_INCOME_TYPE	NAME_EDUCATION_TYPE	NAME_FAMILY_STATUS	NAME_HOUSING_TYPE	REGION_POPULATION_RELATIVE	DAYS_BIRTH	DAYS_EMPLOYED	DAYS_REGISTRATION	DAYS_ID_PUBLISH	OWN_CAR_AGE	FLAG_MOBIL	FLAG_EMP_PHONE	FLAG_WORK_PHONE	FLAG_CONT_MOBILE	FLAG_PHONE	FLAG_EMAIL	OCCUPATION_TYPE	CNT_FAM_MEMBERS	REGION_RATING_CLIENT	REGION_RATING_CLIENT_W_CITY	WEEKDAY_APPR_PROCESS_START	HOUR_APPR_PROCESS_START	REG_REGION_NOT_LIVE_REGION	REG_REGION_NOT_WORK_REGION	LIVE_REGION_NOT_WORK_REGION	REG_CITY_NOT_LIVE_CITY	REG_CITY_NOT_WORK_CITY	LIVE_CITY_NOT_WORK_CITY	ORGANIZATION_TYPE	EXT_SOURCE_1	EXT_SOURCE_2	EXT_SOURCE_3	APARTMENTS_AVG	BASEMENTAREA_AVG	YEARS_BEGINEXPLUATATION_AVG	YEARS_BUILD_AVG	COMMONAREA_AVG	ELEVATORS_AVG	ENTRANCES_AVG	FLOORSMAX_AVG	FLOORSMIN_AVG	LANDAREA_AVG	LIVINGAPARTMENTS_AVG	LIVINGAREA_AVG	NONLIVINGAPARTMENTS_AVG	NONLIVINGAREA_AVG	APARTMENTS_MODE	BASEMENTAREA_MODE	YEARS_BEGINEXPLUATATION_MODE	YEARS_BUILD_MODE	COMMONAREA_MODE	ELEVATORS_MODE	ENTRANCES_MODE	FLOORSMAX_MODE	FLOORSMIN_MODE	LANDAREA_MODE	LIVINGAPARTMENTS_MODE	LIVINGAREA_MODE	NONLIVINGAPARTMENTS_MODE	NONLIVINGAREA_MODE	APARTMENTS_MEDI	BASEMENTAREA_MEDI	YEARS_BEGINEXPLUATATION_MEDI	YEARS_BUILD_MEDI	COMMONAREA_MEDI	ELEVATORS_MEDI	ENTRANCES_MEDI	FLOORSMAX_MEDI	FLOORSMIN_MEDI	LANDAREA_MEDI	LIVINGAPARTMENTS_MEDI	LIVINGAREA_MEDI	NONLIVINGAPARTMENTS_MEDI	NONLIVINGAREA_MEDI	FONDKAPREMONT_MODE	HOUSETYPE_MODE	TOTALAREA_MODE	WALLSMATERIAL_MODE	EMERGENCYSTATE_MODE	OBS_30_CNT_SOCIAL_CIRCLE	DEF_30_CNT_SOCIAL_CIRCLE	OBS_60_CNT_SOCIAL_CIRCLE	DEF_60_CNT_SOCIAL_CIRCLE	DAYS_LAST_PHONE_CHANGE	FLAG_DOCUMENT_2	FLAG_DOCUMENT_3	FLAG_DOCUMENT_4	FLAG_DOCUMENT_5	FLAG_DOCUMENT_6	FLAG_DOCUMENT_7	FLAG_DOCUMENT_8	FLAG_DOCUMENT_9	FLAG_DOCUMENT_10	FLAG_DOCUMENT_11	FLAG_DOCUMENT_12	FLAG_DOCUMENT_13	FLAG_DOCUMENT_14	FLAG_DOCUMENT_15	FLAG_DOCUMENT_16	FLAG_DOCUMENT_17	FLAG_DOCUMENT_18	FLAG_DOCUMENT_19	FLAG_DOCUMENT_20	FLAG_DOCUMENT_21	AMT_REQ_CREDIT_BUREAU_HOUR	AMT_REQ_CREDIT_BUREAU_DAY	AMT_REQ_CREDIT_BUREAU_WEEK	AMT_REQ_CREDIT_BUREAU_MON	AMT_REQ_CREDIT_BUREAU_QRT	AMT_REQ_CREDIT_BUREAU_YEAR
389292	0	Cash loans	M	Y	Y	2	76500.0	56880.0	4621.5	45000.0	Unaccompanied	Working	Secondary / secondary special	Married	House / apartment	0.002042	-19066	-158	-13072.0	-2625	3.0	1	1	0	1	0	0	Security staff	4.0	3	3	THURSDAY	11	0	0	0	0	0	0	Business Entity Type 3		0.6596860615316614	0.4722533429586386																																																0.0	0.0	0.0	0.0	-1247.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
181527	0	Cash loans	F	Y	Y	1	270000.0	536917.5	19413.0	463500.0	Unaccompanied	Working	Secondary / secondary special	Widow	House / apartment	0.035792000000000004	-16321	-3363	-3235.0	-924	1.0	1	1	0	1	0	0	Managers	2.0	2	2	TUESDAY	15	0	0	0	0	0	0	Other	0.5797640468722933	0.5634995579766136	0.5513812618027899																																															No	2.0	0.0	2.0	0.0	-400.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	3.0	0.0
280115	0	Cash loans	M	N	N	0	180000.0	675000.0	21195.0	675000.0	Unaccompanied	Commercial associate	Higher education	Single / not married	With parents	0.025164	-9511	-859	-3670.0	-2151		1	1	0	1	1	0	High skill tech staff	1.0	2	2	FRIDAY	16	0	0	0	0	0	0	Business Entity Type 3	0.4137216236722612	0.5480817975177626		0.1216		0.9732			0.0	0.3448	0.1667				0.1441		0.0	0.1239		0.9732			0.0	0.3448	0.1667				0.1501		0.0	0.1228		0.9732			0.0	0.3448	0.1667				0.1466		0.0		block of flats	0.1133		No	0.0	0.0	0.0	0.0	-833.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
427848	0	Cash loans	F	N	N	0	112500.0	997335.0	28710.0	832500.0	Children	Commercial associate	Secondary / secondary special	Married	House / apartment	0.02461	-17607	-354	-6782.0	-1148		1	1	0	1	1	0	High skill tech staff	2.0	2	2	MONDAY	18	0	0	0	0	0	0	Business Entity Type 3	0.6130817001727281	0.5002041586599351	0.3344541255096772	0.1113	0.0676	0.9816			0.12	0.1034	0.3333		0.0787		0.1123		0.0	0.1134	0.0702	0.9816			0.1208	0.1034	0.3333		0.0805		0.11699999999999999		0.0	0.1124	0.0676	0.9816			0.12	0.1034	0.3333		0.0801		0.1144		0.0		block of flats	0.1023	Panel	No	0.0	0.0	0.0	0.0	-1286.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	7.0
308070	0	Cash loans	F	N	Y	0	157500.0	508495.5	35518.5	454500.0	Unaccompanied	Working	Higher education	Married	House / apartment	0.030755	-19823	-3758	-9746.0	-3381		1	1	0	1	0	0	Accountants	2.0	2	2	FRIDAY	14	0	0	0	0	0	0	Business Entity Type 3		0.6914157452496771	0.5460231970049609																																																8.0	1.0	8.0	1.0	-1296.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	2.0	0.0	4.0
353727	0	Cash loans	F	Y	Y	1	112500.0	900000.0	26446.5	900000.0	Spouse, partner	Working	Secondary / secondary special	Married	House / apartment	0.010006	-13839	-7018	-822.0	-611	4.0	1	1	0	1	0	0	Laborers	3.0	2	1	SATURDAY	13	0	0	0	0	0	0	Business Entity Type 2	0.5795249743353315	0.6869235019267663	0.2721336844147212	0.3814	0.0283	0.9990000000000001	0.9864	0.09300000000000001	0.24	0.1034	0.6667	0.0417	0.1432	0.3085	0.3586	0.0116	0.1428	0.3887	0.0294	0.9990000000000001	0.9869	0.0938	0.2417	0.1034	0.6667	0.0417	0.1464	0.337	0.3736	0.0117	0.1511	0.3851	0.0283	0.9990000000000001	0.9866	0.0936	0.24	0.1034	0.6667	0.0417	0.1457	0.3138	0.365	0.0116	0.1457	reg oper account	block of flats	0.3326	Panel	No	0.0	0.0	0.0	0.0	-815.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
302241	1	Cash loans	M	Y	N	0	180000.0	799299.0	40941.0	702000.0	Other_A	Working	Secondary / secondary special	Married	House / apartment	0.022625	-18202	-893	-580.0	-1763	24.0	1	1	0	1	0	0	Drivers	2.0	2	2	FRIDAY	9	0	0	0	0	1	1	Trade: type 3		0.6122234970784659	0.3344541255096772																																																4.0	0.0	3.0	0.0	-1928.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0
252678	0	Cash loans	F	N	Y	0	126000.0	900000.0	35824.5	900000.0	Unaccompanied	Pensioner	Secondary / secondary special	Civil marriage	House / apartment	0.028663	-20079	365243	-6.0	-2143		1	0	0	1	0	0		2.0	2	2	THURSDAY	11	0	0	0	0	0	0	XNA	0.5666492895692516	0.3856174484383358	0.7001838506835805	0.0825	0.0	0.9752	0.66	0.0085	0.0	0.1379	0.1667	0.2083	0.0634	0.0664	0.0628	0.0039	0.003	0.084	0.0	0.9752	0.6733	0.0085	0.0	0.1379	0.1667	0.2083	0.0648	0.0725	0.0654	0.0039	0.0032	0.0833	0.0	0.9752	0.6645	0.0085	0.0	0.1379	0.1667	0.2083	0.0645	0.0676	0.0639	0.0039	0.0031	reg oper account	block of flats	0.0546	Stone, brick	No	1.0	1.0	1.0	0.0	-134.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2.0	4.0
183154	0	Cash loans	F	N	N	0	90000.0	269550.0	12001.5	225000.0	Unaccompanied	Pensioner	Secondary / secondary special	Widow	House / apartment	0.016612000000000002	-21440	365243	-12511.0	-4060		1	0	0	1	1	0		1.0	2	2	WEDNESDAY	18	0	0	0	0	0	0	XNA		0.561083024899614	0.11392239629221085																																																0.0	0.0	0.0	0.0	-1211.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0
242056	0	Cash loans	F	N	Y	0	247500.0	1139845.5	45333.0	1048500.0	Family	Commercial associate	Secondary / secondary special	Single / not married	House / apartment	0.031329	-22755	-2713	-8221.0	-4362		1	1	0	1	1	0	Sales staff	1.0	2	2	SATURDAY	8	0	0	0	0	0	0	Business Entity Type 3		0.7075518371328813	0.7047064232963289	0.1196	0.1379	0.9841			0.0	0.2759	0.1667		1.0		0.1048		0.0	0.1218	0.1431	0.9841			0.0	0.2759	0.1667		1.0		0.1092		0.0	0.1207	0.1379	0.9841			0.0	0.2759	0.1667		1.0		0.1067		0.0		block of flats	0.0824	Stone, brick	No	0.0	0.0	0.0	0.0	-716.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0
